City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
521,Husavik,IS,66.0449,-17.3389,40.91,98,100,24.74,overcast clouds
522,Ambilobe,MG,-13.2,49.05,74.89,57,45,6.29,scattered clouds
523,Killybegs,IE,54.6333,-8.45,53.31,77,32,20.78,scattered clouds
524,Digha,IN,21.6833,87.55,81.75,87,79,12.28,broken clouds
525,Pangnirtung,CA,66.1451,-65.7125,33.8,86,20,0.0,few clouds
526,Chimbote,PE,-9.0853,-78.5783,67.78,72,76,8.61,broken clouds
527,Nabire,ID,-3.3667,135.4833,75.88,91,99,3.33,overcast clouds
528,Sao Joaquim,BR,-28.2939,-49.9317,53.71,82,100,5.66,overcast clouds
529,Port-Cartier,CA,50.0334,-66.8654,44.82,95,100,5.1,overcast clouds
530,Camargo,MX,27.6667,-105.1667,77.23,50,19,2.55,few clouds
531,Grindavik,IS,63.8424,-22.4338,43.27,81,75,28.77,broken clouds
532,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,37,0,17.27,clear sky
533,Hambantota,LK,6.1241,81.1185,79.92,83,13,13.91,few clouds
534,Mabiton,PH,12.8334,123.2612,82.67,77,100,8.1,overcast clouds
535,Suhbaatar,MN,50.2314,106.2078,34.14,90,100,4.07,overcast clouds
536,Yulara,AU,-25.2406,130.9889,71.44,23,0,16.11,clear sky
537,Kudahuvadhoo,MV,2.6708,72.8944,82.89,74,33,14.29,scattered clouds
538,Show Low,US,34.2542,-110.0298,62.01,48,1,3.44,clear sky
539,Vigrestad,NO,58.5667,5.7,55.08,75,95,23.29,overcast clouds
540,Madhipura,IN,25.9167,86.7833,77.41,87,87,6.42,overcast clouds
541,Senno,RU,59.5336,33.9167,40.26,87,100,4.7,overcast clouds
542,Nalgonda,IN,17.05,79.2667,77.25,89,44,7.07,scattered clouds
543,Mmathubudukwane,BW,-24.6,26.4333,81.46,16,4,10.89,clear sky
544,Jand,PK,33.4299,72.0193,85.55,58,5,10.31,clear sky
545,Shubarkuduk,KZ,49.1447,56.4872,49.77,51,98,5.99,overcast clouds
546,Machali,CL,-34.1833,-70.6667,54.68,54,40,11.5,scattered clouds
547,Feijo,BR,-8.1642,-70.3536,98.02,33,18,5.3,few clouds
548,Jimenez,MX,28.3333,-105.4,72.34,47,1,4.34,clear sky
549,Nishihara,JP,26.1842,127.7558,78.08,69,40,4.61,scattered clouds
550,Inongo,CD,-1.95,18.2667,75.33,83,82,3.89,broken clouds
551,Sangin,AF,32.0728,64.8359,76.68,19,0,7.23,clear sky
552,Davenda,RU,53.5556,119.317,30.31,72,11,3.62,few clouds
553,Sur,OM,22.5667,59.5289,81.93,78,100,7.83,overcast clouds
554,Araouane,ML,18.9048,-3.5265,103.6,7,87,6.02,overcast clouds
555,Srandakan,ID,-7.9386,110.2506,76.75,78,86,4.9,overcast clouds
556,Sukhobezvodnoye,RU,57.0491,44.8891,46.02,76,100,3.36,overcast clouds
557,Raton,US,36.9034,-104.4391,57.81,55,1,8.05,clear sky
558,Neiafu,TO,-18.65,-173.9833,75.88,83,75,6.91,broken clouds
559,Santa Ines,BR,-3.6667,-45.38,82.53,68,89,3.56,overcast clouds
560,Clinton,US,42.587,-82.9199,77.32,60,75,1.01,broken clouds
561,Vanavara,RU,60.34,102.2797,35.04,97,100,4.7,overcast clouds
562,Iquitos,PE,-3.7481,-73.2472,91.44,58,75,4.61,broken clouds
563,Raga,SS,8.4596,25.678,75.83,81,99,3.13,overcast clouds
564,Azuaga,ES,38.2667,-5.6833,79.97,28,6,9.17,clear sky
