City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Kahului,US,2021-09-29 01:28:51,20.8947,-156.47,303.74,76,40,9.77
210,Kousseri,CM,2021-09-29 01:33:43,12.0769,15.0306,298.13,88,20,2.06
211,Mahebourg,MU,2021-09-29 01:33:43,-20.4081,57.7,295.51,60,75,7.72
212,Husavik,IS,2021-09-29 01:33:44,66.0449,-17.3389,275.1,69,75,7.98
213,Whitehaven,GB,2021-09-29 01:32:57,54.549,-3.5841,281.85,92,32,1.34
214,Partinico,IT,2021-09-29 01:33:44,38.0439,13.12,295.67,81,0,2.57
215,Vanavara,RU,2021-09-29 01:33:44,60.34,102.2797,276.37,70,67,2.48
216,Qaanaaq,GL,2021-09-29 01:33:45,77.484,-69.3632,270.62,74,100,0.93
217,Tiksi,RU,2021-09-29 01:33:45,71.6872,128.8694,273.46,86,100,1.1
218,La Ronge,CA,2021-09-29 01:33:45,55.1001,-105.2842,292.29,59,90,3.09
219,Kulhudhuffushi,MV,2021-09-29 01:33:46,6.6221,73.07,300.92,78,36,6.05
220,Lompoc,US,2021-09-29 01:32:49,34.6391,-120.4579,293.03,66,1,5.14
221,Marienburg,PL,2021-09-29 01:33:46,54.0359,19.0266,282.53,75,69,4.87
222,Forestville,US,2021-09-29 01:33:47,38.8451,-76.875,295.72,79,1,3.09
223,Hobyo,SO,2021-09-29 01:33:47,5.3505,48.5268,298.7,85,4,9.66
224,Vao,NC,2021-09-29 01:33:47,-22.6667,167.4833,293.54,76,11,9.37
225,Saldanha,ZA,2021-09-29 01:32:44,-33.0117,17.9442,286.18,78,0,11.13
226,Kralendijk,BQ,2021-09-29 01:30:13,12.15,-68.2667,302.14,79,8,5.14
227,Lata,PT,2021-09-29 01:33:48,40.1629,-8.3327,287.49,95,10,1.41
228,Meulaboh,ID,2021-09-29 01:33:48,4.1363,96.1285,298.96,83,100,1.59
229,Guerrero Negro,MX,2021-09-29 01:33:48,27.9769,-114.0611,294.67,71,1,6.97
230,Oum Hadjer,TD,2021-09-29 01:33:49,13.2954,19.6966,301.39,54,100,1.97
231,Manzhouli,CN,2021-09-29 01:33:49,49.6,117.4333,277.65,50,18,8.26
232,Nyurba,RU,2021-09-29 01:33:50,63.2842,118.3319,274.69,68,51,3.29
233,Pemba,MZ,2021-09-29 01:33:50,-12.974,40.5178,296.81,83,6,2.18
234,Geraldton,AU,2021-09-29 01:33:50,-28.7667,114.6,294.89,64,49,4.63
235,Nabire,ID,2021-09-29 01:32:59,-3.3667,135.4833,302.08,74,100,1.13
236,Hambantota,LK,2021-09-29 01:33:51,6.1241,81.1185,298.34,94,75,2.57
237,Marawi,PH,2021-09-29 01:33:51,7.9986,124.2928,297.4,61,100,0.64
238,Rawson,AR,2021-09-29 01:30:54,-43.3002,-65.1023,285.36,50,52,1.3
239,Okha,RU,2021-09-29 01:33:51,53.5739,142.9478,288.29,81,100,6.24
240,Uddevalla,SE,2021-09-29 01:33:52,58.3478,11.9424,284.35,98,29,1.41
241,Codajas,BR,2021-09-29 01:33:52,-3.8367,-62.0569,296.19,95,85,0.44
242,Catamarca,AR,2021-09-29 01:33:52,-28.4696,-65.7852,294.06,70,13,3.86
243,Usinsk,RU,2021-09-29 01:33:53,65.9939,57.5281,276.21,88,100,2.63
244,Biryusinsk,RU,2021-09-29 01:33:53,55.9634,97.8235,274.52,93,98,0.6
245,Maumere,ID,2021-09-29 01:33:53,-8.6199,122.2111,302.15,66,18,0.96
246,Linxia,CN,2021-09-29 01:33:54,35.6003,103.2064,290.18,38,53,0.69
247,Mehamn,NO,2021-09-29 01:33:54,71.0357,27.8492,281.94,78,98,5.51
248,Ribeira Grande,PT,2021-09-29 01:33:54,38.5167,-28.7,295.51,87,18,6.68
249,Nchelenge,ZM,2021-09-29 01:33:55,-9.3451,28.734,297.16,59,97,0.39
250,Mahanje,TZ,2021-09-29 01:33:55,-9.9333,35.3333,289.41,70,67,1.61
251,Caravelas,BR,2021-09-29 01:33:55,-17.7125,-39.2481,294.44,88,0,2.39
252,Mumford,GH,2021-09-29 01:33:56,5.2618,-0.759,297.93,88,38,2.71
253,Anadyr,RU,2021-09-29 01:32:53,64.75,177.4833,271.43,63,0,7.0
254,Nouadhibou,MR,2021-09-29 01:33:56,20.931,-17.0347,301.14,57,40,10.8
255,Inta,RU,2021-09-29 01:33:56,66.0317,60.1659,275.99,96,100,1.16
256,Akola,IN,2021-09-29 01:33:57,20.7333,77.0,296.92,90,100,3.07
257,Le Vauclin,MQ,2021-09-29 01:33:57,14.5452,-60.8388,298.18,94,5,1.03
258,New Norfolk,AU,2021-09-29 01:33:57,-42.7826,147.0587,287.43,63,99,0.89
259,El Tigre,VE,2021-09-29 01:31:20,8.8875,-64.2454,300.23,62,82,2.11
260,Aykhal,RU,2021-09-29 01:33:58,66.0,111.5,271.44,68,100,3.24
261,Klaksvik,FO,2021-09-29 01:33:58,62.2266,-6.589,279.66,85,68,2.95
262,Ulaanbaatar,MN,2021-09-29 01:33:58,47.9077,106.8832,273.22,69,75,1.0
263,Qianjiang,CN,2021-09-29 01:33:59,30.4151,112.8859,297.14,71,4,2.49
264,San Carlos De Bariloche,AR,2021-09-29 01:33:59,-41.1456,-71.3082,282.01,46,0,1.54
265,Henties Bay,NA,2021-09-29 01:34:00,-22.116,14.2845,285.85,93,17,3.69
266,Moron,AR,2021-09-29 01:31:41,-34.6534,-58.6198,288.69,92,90,1.79
267,Nara,JP,2021-09-29 01:29:24,34.6851,135.8049,302.31,43,46,3.27
268,Cabatuan,PH,2021-09-29 01:34:00,10.8794,122.486,302.84,73,65,2.7
269,Asyut,EG,2021-09-29 01:34:01,27.181,31.1837,294.25,49,0,3.6
270,Luderitz,NA,2021-09-29 01:34:01,-26.6481,15.1594,284.84,84,0,7.04
271,Codrington,AU,2021-09-29 01:32:36,-38.2667,141.9667,289.31,67,100,7.4
272,Beringovskiy,RU,2021-09-29 01:34:02,63.05,179.3167,272.31,72,100,2.86
273,Torbay,CA,2021-09-29 01:30:22,47.6666,-52.7314,290.19,91,90,9.77
274,Lebu,CL,2021-09-29 01:34:02,-37.6167,-73.65,281.54,83,67,2.45
275,Sainte-Marie,RE,2021-09-29 01:34:02,-20.8968,55.5496,295.22,53,75,7.72
276,Parbhani,IN,2021-09-29 01:34:03,19.2667,76.7833,295.29,89,97,2.82
277,The Valley,AI,2021-09-29 01:34:03,18.217,-63.0578,302.07,69,32,6.26
278,Lima,PE,2021-09-29 01:33:07,-12.0432,-77.0282,288.78,86,75,4.12
